file,artist,title,format,bitrate_kbps,sample_rate_hz,channels,length_sec,bpm,key,missing_bpm,missing_key,error
J Dilla (2006) HHIR - Donuts [The Samples]/47 Brenton Wood - Gimme Little Sign.mp3,Brenton Wood,Gimme Little Sign ['Signs'],MP3,192,44100,2,139.39470833333334,,,True,True,
J Dilla (2006) HHIR - Donuts [The Samples]/20 Jackson 5 - All I Do Is Think of You.mp3,Jackson 5,All I Do Is Think of You ['Time: The Donut of the Heart'],MP3,192,44100,2,186.85920833333333,,,True,True,
J Dilla (2006) HHIR - Donuts [The Samples]/44 The Moments - To You With Love.mp3,The Moments,To You With Love ['Last Donut of the Night'],MP3,192,44100,2,185.291875,,,True,True,
J Dilla (2006) HHIR - Donuts [The Samples]/18 Frank Zappa - Dance Contest.mp3,Frank Zappa,Dance Contest ['Mash'],MP3,192,44100,2,180.58983333333333,,,True,True,
J Dilla (2006) HHIR - Donuts [The Samples]/48 Syl Johnson - Different Strokes.mp3,Syl Johnson,Different Strokes ['Signs'],MP3,192,44100,2,137.06983333333332,,,True,True,
J Dilla (2006) HHIR - Donuts [The Samples]/37 Luther Ingram - To the Other Man.mp3,Luther Ingram,To the Other Man ['Gobstopper' & 'One for Ghost'],MP3,192,44100,2,241.95145833333333,,,True,True,
J Dilla (2006) HHIR - Donuts [The Samples]/10 James Brown - My Thang.mp3,James Brown,My Thang ['Light My Fire'],MP3,192,44100,2,279.20208333333335,,,True,True,
J Dilla (2006) HHIR - Donuts [The Samples]/04 Beastie Boys - The New Style.mp3,Beastie Boys,The New Style ['Workinonit' & 'The New'],MP3,192,44100,2,275.8845,,,True,True,
J Dilla (2006) HHIR - Donuts [The Samples]/07 10cc - Johnny Don't Do It.mp3,10cc,Johnny Don't Do It ['Waves'],MP3,192,44100,2,213.60858333333334,,,True,True,
J Dilla (2006) HHIR - Donuts [The Samples]/12 Dionne Warwick - You're Gonna Need Me.mp3,Dionne Warwick,You're Gonna Need Me ['Stop'],MP3,192,44100,2,265.4877916666667,,,True,True,
J Dilla (2006) HHIR - Donuts [The Samples]/03 Mantronix - King of the Beats.mp3,Mantronix,"King of the Beats ['Workinonit', 'Waves', 'People', 'The Diff'rence', 'Lightworks', 'The Twister (Huh, What)', 'Thunder', 'Gobstopper', 'One for Ghost' & 'Da Factory']",MP3,192,44100,2,355.7147083333333,,,True,True,
J Dilla (2006) HHIR - Donuts [The Samples]/34 The Jimi Entley Sound - Charlie's Theme.mp3,The Jimi Entley Sound,Charlie's Theme ['Geek Down'],MP3,192,44100,2,190.255125,,,True,True,
J Dilla (2006) HHIR - Donuts [The Samples]/06 Malcolm McLaren - Buffalo Gals.mp3,Malcolm McLaren,"Buffalo Gals ['Workinonit' & 'The Twister (Huh, What)']",MP3,192,44100,2,219.669,,,True,True,
J Dilla (2006) HHIR - Donuts [The Samples]/30 Smokey Robinson & The Miracles - A Legend in Its Own Time.mp3,Smokey Robinson & The Miracles,A Legend in Its Own Time ['One Eleven'],MP3,192,44100,2,190.150625,,,True,True,
J Dilla (2006) HHIR - Donuts [The Samples]/17 Galt MacDermot - Golden Apples (Part II).mp3,Galt MacDermot,Golden Apples (Part II) ['Mash'],MP3,192,44100,2,223.4045,,,True,True,
J Dilla (2006) HHIR - Donuts [The Samples]/36 Martha Reeves - Sweet Misery.mp3,Martha Reeves,Sweet Misery ['Thunder'],MP3,192,44100,2,230.06575,,,True,True,
J Dilla (2006) HHIR - Donuts [The Samples]/08 B.R. Gunna - Do Ya Thing.mp3,B.R. Gunna,"Do Ya Thing ['Waves', 'Dilla Says Go' & 'U-Luv']",MP3,192,44100,2,118.96695833333334,,,True,True,
"J Dilla (2006) HHIR - Donuts [The Samples]/27 The Temptations - Cloud Nine (Motortown Revue Live, 1969).mp3",The Temptations,"Cloud Nine (Motortown Revue Live, 1969) ['The Twister (Huh, What)']",MP3,192,44100,2,210.16041666666666,,,True,True,
J Dilla (2006) HHIR - Donuts [The Samples]/45 Gene Chandler - Rainbow '65 (Live).mp3,Gene Chandler,Rainbow '65 (Live) ['Last Donut of the Night'],MP3,192,44100,2,358.144125,,,True,True,
J Dilla (2006) HHIR - Donuts [The Samples]/01 Shuggie Otis - Not Available.mp3,Shuggie Otis,Not Available ['Donuts (Outro)' & 'Donuts (Intro)'],MP3,192,44100,2,146.10820833333332,,,True,True,
J Dilla (2006) HHIR - Donuts [The Samples]/22 L.V. Johnson - I Don't Really Care.mp3,L.V. Johnson,I Don't Really Care ['Airworks'],MP3,192,44100,2,314.4935,,,True,True,
J Dilla (2006) HHIR - Donuts [The Samples]/19 Lou Rawls - Season of the Witch.mp3,Lou Rawls,Season of the Witch ['Mash' & 'Glazed'],MP3,192,44100,2,348.76616666666666,,,True,True,
J Dilla (2006) HHIR - Donuts [The Samples]/40 The Weinberg Method - Animosity.mp3,The Weinberg Method,Animosity ['Da Factory'],MP3,192,44100,2,166.77104166666666,,,True,True,
J Dilla (2006) HHIR - Donuts [The Samples]/39 The Undisputed Truth - Walk on By.mp3,The Undisputed Truth,Walk on By ['Walkinonit'],MP3,192,44100,2,225.86004166666666,,,True,True,
J Dilla (2006) HHIR - Donuts [The Samples]/15 Run-D.M.C. - Here We Go (Live at The Funhouse).mp3,Run-D.M.C.,Here We Go (Live at The Funhouse) ['People' & 'One Eleven'],MP3,192,44100,2,245.1645,,,True,True,
J Dilla (2006) HHIR - Donuts [The Samples]/13 Jadakiss - Why (Acapella).mp3,Jadakiss,Why? (Acapella) ['Stop'],MP3,192,44100,2,231.162875,,,True,True,
J Dilla (2006) HHIR - Donuts [The Samples]/29 Joeski Love - Pee-Wee's Dance.mp3,Joeski Love,"Pee-Wee's Dance ['The Twister (Huh, What)' & 'Anti-American Graffiti']",MP3,192,44100,2,278.13104166666665,,,True,True,
J Dilla (2006) HHIR - Donuts [The Samples]/33 Tin Tin - Family Tree.mp3,Tin Tin,Family Tree ['Anti-American Graffiti'],MP3,192,44100,2,150.49675,,,True,True,
J Dilla (2006) HHIR - Donuts [The Samples]/28 Fred Frith - Kick the Can (Part 1).mp3,Fred Frith,"Kick the Can (Part 1) ['The Twister (Huh, What)']",MP3,192,44100,2,139.002875,,,True,True,
J Dilla (2006) HHIR - Donuts [The Samples]/35 ESG - UFO.mp3,ESG,UFO ['Geek Down'],MP3,192,44100,2,173.06654166666667,,,True,True,
J Dilla (2006) HHIR - Donuts [The Samples]/14 Eddie Kendricks - My People...Hold On.mp3,Eddie Kendricks,My People...Hold On ['People'],MP3,192,44100,2,338.2649166666667,,,True,True,
J Dilla (2006) HHIR - Donuts [The Samples]/11 Detroit Emeralds - Whatcha Gonna Wear Tomorrow.mp3,Detroit Emeralds,Whatcha Gonna Wear Tomorrow ['The New'],MP3,192,44100,2,255.06491666666668,,,True,True,
J Dilla (2006) HHIR - Donuts [The Samples]/46 Motherlode - When I Die.mp3,Motherlode,When I Die ['Donuts (Intro)'],MP3,192,44100,2,199.189,,,True,True,
J Dilla (2006) HHIR - Donuts [The Samples]/05 Raymond Scott - Sprite Melonball Bounce.mp3,Raymond Scott,Sprite: Melonball Bounce ['Workinonit'],MP3,192,44100,2,59.93025,,,True,True,
J Dilla (2006) HHIR - Donuts [The Samples]/32 The Escorts - I Can't Stand (To See You Cry).mp3,The Escorts,I Can't Stand (To See You Cry) ['Don't Cry'],MP3,192,44100,2,194.74820833333334,,,True,True,
J Dilla (2006) HHIR - Donuts [The Samples]/16 Kool & The Gang - Fruitman.mp3,Kool & The Gang,Fruitman ['The Diff'rence'],MP3,192,44100,2,321.10245833333335,,,True,True,
J Dilla (2006) HHIR - Donuts [The Samples]/41 Jerry Butler - Just Because I Really Love You.mp3,Jerry Butler,Just Because I Really Love You ['U-Luv'],MP3,192,44100,2,153.39633333333333,,,True,True,
J Dilla (2006) HHIR - Donuts [The Samples]/23 Raymond Scott - Bendix The Tomorrow People.mp3,Raymond Scott,Bendix: The Tomorrow People ['Airworks' & 'Lightworks'],MP3,192,44100,2,64.08370833333333,,,True,True,
J Dilla (2006) HHIR - Donuts [The Samples]/21 Gene Chandler & Jerry Butler - You Just Can't Win (By Makin' the Same Mistake).mp3,Gene Chandler & Jerry Butler,You Just Can't Win (By Makin' the Same Mistake) ['Glazed'],MP3,192,44100,2,152.53433333333334,,,True,True,
J Dilla (2006) HHIR - Donuts [The Samples]/25 Mountain - Long Red (Live).mp3,Mountain,Long Red (Live) ['Stepson of the Clapper'],MP3,192,44100,2,346.67633333333333,,,True,True,
J Dilla (2006) HHIR - Donuts [The Samples]/26 Stevie Wonder - For Once in My Life.mp3,Stevie Wonder,"For Once in My Life ['The Twister (Huh, What)']",MP3,192,44100,2,168.80858333333333,,,True,True,
J Dilla (2006) HHIR - Donuts [The Samples]/09 Africa - Light My Fire.mp3,Africa,Light My Fire ['Light My Fire'],MP3,192,44100,2,277.00779166666666,,,True,True,
J Dilla (2006) HHIR - Donuts [The Samples]/24 Raymond Scott - Lightworks.mp3,Raymond Scott,Lightworks ['Lightworks'],MP3,192,44100,2,108.309,,,True,True,
MAC MILLER - DISCOGRAPHY [CHANNEL NEO]/[2009] The Jukebox Prelude To Class Clown (Mixtape)/13 - J's On My Feet (prod. EZ Mac).mp3,Mac Miller,J's On My Feet (prod. EZ Mac),MP3,320,44100,2,237.9755,,,True,True,
MAC MILLER - DISCOGRAPHY [CHANNEL NEO]/[2009] The Jukebox Prelude To Class Clown (Mixtape)/21 - Keep It Rollin' (prod. EZ Mac).mp3,Mac Miller,Keep It Rollin' (prod. EZ Mac),MP3,320,44100,2,257.1755,,,True,True,
MAC MILLER - DISCOGRAPHY [CHANNEL NEO]/[2009] The Jukebox Prelude To Class Clown (Mixtape)/05 - What Up Cousin (R.I.P. Nick).mp3,Mac Miller,What Up Cousin (R.I.P. Nick),MP3,320,44100,2,249.07755,,,True,True,
MAC MILLER - DISCOGRAPHY [CHANNEL NEO]/[2009] The Jukebox Prelude To Class Clown (Mixtape)/08 - Late Night (prod. EZ Mac).mp3,Mac Miller,Late Night (prod. EZ Mac),MP3,320,44100,2,196.519175,,,True,True,
"MAC MILLER - DISCOGRAPHY [CHANNEL NEO]/[2009] The Jukebox Prelude To Class Clown (Mixtape)/14 - On Some Real Shit (100,000 Bar.mp3",Mac Miller,"On Some Real Shit (100,000 Bar",MP3,320,44100,2,205.818775,,,True,True,
MAC MILLER - DISCOGRAPHY [CHANNEL NEO]/[2009] The Jukebox Prelude To Class Clown (Mixtape)/06 - Got A Clue.mp3,Mac Miller,Got A Clue,MP3,320,44100,2,228.754275,,,True,True,
MAC MILLER - DISCOGRAPHY [CHANNEL NEO]/[2009] The Jukebox Prelude To Class Clown (Mixtape)/16 - A Night In The Studio.mp3,Mac Miller,A Night In The Studio,MP3,320,44100,2,192.99265,,,True,True,
MAC MILLER - DISCOGRAPHY [CHANNEL NEO]/[2009] The Jukebox Prelude To Class Clown (Mixtape)/09 - Cruisin' (prod. Soul Theory).mp3,Mac Miller,Cruisin' (prod. Soul Theory),MP3,320,44100,2,251.2457,,,True,True,
MAC MILLER - DISCOGRAPHY [CHANNEL NEO]/[2009] The Jukebox Prelude To Class Clown (Mixtape)/17 - My Lady (prod. Buscrates 16 Bi.mp3,Mac Miller,My Lady (prod. Buscrates 16 Bi,MP3,320,44100,2,149.159175,,,True,True,
MAC MILLER - DISCOGRAPHY [CHANNEL NEO]/[2009] The Jukebox Prelude To Class Clown (Mixtape)/03 - Barz 4 Dayz (prod. Soul Theory.mp3,Mac Miller,Barz 4 Dayz (prod. Soul Theory,MP3,320,44100,2,216.73795,,,True,True,
MAC MILLER - DISCOGRAPHY [CHANNEL NEO]/[2009] The Jukebox Prelude To Class Clown (Mixtape)/18 - Comin Soon' (feat. John Record.mp3,Mac Miller,Comin Soon' (feat. John Record,MP3,320,44100,2,183.327325,,,True,True,
MAC MILLER - DISCOGRAPHY [CHANNEL NEO]/[2009] The Jukebox Prelude To Class Clown (Mixtape)/02 - Sound Like (prod. EZ Mac).mp3,Mac Miller,Sound Like (prod. EZ Mac),MP3,320,44100,2,193.854675,,,True,True,
MAC MILLER - DISCOGRAPHY [CHANNEL NEO]/[2009] The Jukebox Prelude To Class Clown (Mixtape)/10 - Swing Set.mp3,Mac Miller,Swing Set,MP3,160,44100,2,201.84815,,,True,True,
MAC MILLER - DISCOGRAPHY [CHANNEL NEO]/[2009] The Jukebox Prelude To Class Clown (Mixtape)/01 - Intro.mp3,Mac Miller,Intro,MP3,320,44100,2,54.204075,,,True,True,
MAC MILLER - DISCOGRAPHY [CHANNEL NEO]/[2009] The Jukebox Prelude To Class Clown (Mixtape)/11 - Love My Name (feat. John Recor.mp3,Mac Miller,Love My Name (feat. John Recor,MP3,320,44100,2,200.594275,,,True,True,
MAC MILLER - DISCOGRAPHY [CHANNEL NEO]/[2009] The Jukebox Prelude To Class Clown (Mixtape)/20 - So Far To Go.mp3,Mac Miller,So Far To Go,MP3,320,44100,2,207.856325,,,True,True,
MAC MILLER - DISCOGRAPHY [CHANNEL NEO]/[2009] The Jukebox Prelude To Class Clown (Mixtape)/04 - PA Hustla (prod. Johhny Julian.mp3,Mac Miller,PA Hustla (prod. Johhny Julian,MP3,320,44100,2,190.7461,,,True,True,
MAC MILLER - DISCOGRAPHY [CHANNEL NEO]/[2009] The Jukebox Prelude To Class Clown (Mixtape)/07 - Get It On The Floor.mp3,Mac Miller,Get It On The Floor,MP3,320,44100,2,183.484075,,,True,True,
MAC MILLER - DISCOGRAPHY [CHANNEL NEO]/[2009] The Jukebox Prelude To Class Clown (Mixtape)/15 - The Chow Line (feat. Beedie &.mp3,Mac Miller,The Chow Line (feat. Beedie &,MP3,320,44100,2,220.499575,,,True,True,
MAC MILLER - DISCOGRAPHY [CHANNEL NEO]/[2009] The Jukebox Prelude To Class Clown (Mixtape)/12 - Snap Back.mp3,Mac Miller,Snap Back,MP3,320,44100,2,160.41795,,,True,True,
MAC MILLER - DISCOGRAPHY [CHANNEL NEO]/[2009] The Jukebox Prelude To Class Clown (Mixtape)/19 - Keep Me Alive (prod. Roscoe Wi.mp3,Mac Miller,Keep Me Alive (prod. Roscoe Wi,MP3,320,44100,2,244.6106,,,True,True,
MAC MILLER - DISCOGRAPHY [CHANNEL NEO]/[2010] K.I.D.S. (Mixtape)/14 - Kool Aid & Frozen Pizza.mp3,Mac Miller,Kool Aid & Frozen Pizza,MP3,256,48000,2,157.848,,,True,True,
